GET / 304 req-body:  {} - 5.691 ms
GET /favicon.ico 404 req-body:  {} - 1.753 ms
GET /descripcionAPI.html 404 req-body:  {} - 0.526 ms
GET /descriptionAPI.html 200 req-body:  {} - 4.692 ms
GET /public/descriptionAPI.html 404 req-body:  {} - 4.311 ms
GET /favicon.ico 404 req-body:  {} - 1.416 ms
GET /public/descriptionAPI.html 404 req-body:  {} - 1.513 ms
GET /descriptionAPI.html 200 req-body:  {} - 6.486 ms
GET / 200 req-body:  {} - 5.145 ms
POST / 200 req-body:  {"data":"123"} - 5.901 ms
POST / 200 req-body:  {"data":"123"} - 1.184 ms
POST /reg  req-body:  {"chofer":"jose","linea":"de merca","gente":"buena"} -  ms
GET /data 500 req-body:  {} - 7.190 ms
GET /data 500 req-body:  {} - 7.851 ms
GET /data 200 req-body:  {} - 28.442 ms
GET /data 200 req-body:  {} - 31.886 ms
GET /reg 404 req-body:  {"name":"john","lastName":"doe"} - 1.764 ms
POST /reg 200 req-body:  {"name":"john","lastName":"doe"} - 412.014 ms
POST /reg  req-body:  {"name":"john"} -  ms
POST /reg 404 req-body:  {"name":"john"} - 27.228 ms
POST /data 404 req-body:  {"name":"john"} - 0.994 ms
GET /data 200 req-body:  {"name":"john"} - 27.102 ms
POST /reg 200 req-body:  {"name":"john","lastName":"peter"} - 9.810 ms
GET /data 200 req-body:  {"name":"john"} - 2.429 ms
POST /reg 404 req-body:  {"chofer":"jose","linea":"de merca","gente":"buena"} - 3.253 ms
POST /reg 200 req-body:  {"name":"john","lastName":"doe"} - 3.104 ms
POST /data 404 req-body:  {"name":"john","lastName":"doe"} - 0.591 ms
GET /data 200 req-body:  {"data":"123"} - 2.013 ms
GET /data/john 200 req-body:  {"name":"john"} - 24.182 ms
POST /reg 200 req-body:  {"name":"martin","lastName":"peter"} - 10.214 ms
GET /data 200 req-body:  {"name":"john"} - 3.820 ms
GET /data/martin 200 req-body:  {"name":"john"} - 2.098 ms
GET /data/john 200 req-body:  {"name":"john"} - 2.391 ms
GET /data/peter 200 req-body:  {"name":"john"} - 1.463 ms
GET /data/john 200 req-body:  {"data":"123"} - 3.809 ms
GET /data/adolf 200 req-body:  {"data":"123"} - 2.707 ms
GET /data/adolf 200 req-body:  {} - 3.712 ms
GET /data 200 req-body:  {} - 4.345 ms
GET /data/john 200 req-body:  {} - 13.952 ms
GET /data/z 200 req-body:  {} - 18.542 ms
GET /data/l 200 req-body:  {} - 2.900 ms
GET /data/martin 200 req-body:  {} - 4.357 ms
GET /data/martiz 200 req-body:  {} - 3.425 ms
GET /data/martin 200 req-body:  {} - 22.720 ms
GET /data/ 200 req-body:  {} - 5.131 ms
GET /data/jhgjh 200 req-body:  {} - 3.141 ms
GET /data/jwgjh 200 req-body:  {} - 4.897 ms
GET /data/ 200 req-body:  {} - 2.724 ms
GET /data/ 200 req-body:  {} - 6.754 ms
GET /data/ 200 req-body:  {} - 22.113 ms
GET /data/ 200 req-body:  {} - 5.869 ms
GET /data/a 200 req-body:  {} - 4.370 ms
GET /data/a 200 req-body:  {} - 2.198 ms
GET /data/adsf 200 req-body:  {} - 2.341 ms
GET /data/peter  req-body:  {"name":"john"} -  ms
GET /data/ 200 req-body:  {"name":"john"} - 34.025 ms
GET /data/1 200 req-body:  {"name":"john"} - 5.042 ms
GET /descriptionAPI.html 200 req-body:  {} - 71.037 ms
GET /favicon.ico 404 req-body:  {} - 3.867 ms
GET /descriptionAPI.html 304 req-body:  {} - 4.979 ms
GET /event 404 req-body:  {"name":"john"} - 3.090 ms
GET /event 404 req-body:  {} - 8.857 ms
GET /descriptionAPI.html 200 req-body:   - 6.820 ms
GET /favicon.ico 404 req-body:   - 5.292 ms
GET /descriptionAPI.html 200 req-body:   - 11.244 ms
GET /favicon.ico 404 req-body:   - 3.507 ms
GET /pictures/defaultEvent.jpg 200 req-body:   - 0.668 ms
GET /favicon.ico 404 req-body:   - 10.180 ms
GET / 404 req-body:   - 9.476 ms
GET / 404 req-body:   - 9.874 ms
GET /favicon.ico 404 req-body:   - 0.872 ms
GET /demonstrationAPI 404 req-body:   - 1.388 ms
GET /demonstrationAPI.html 404 req-body:   - 0.561 ms
GET /demonstrateAPI 404 req-body:   - 0.731 ms
GET /demonstrateAPI.html 404 req-body:   - 0.367 ms
GET /description 404 req-body:   - 1.243 ms
GET /descriptionAPI 404 req-body:   - 0.823 ms
GET /descriptionAPI.html 200 req-body:   - 21.022 ms
GET / 404 req-body:   - 0.779 ms
GET /favicon.ico 404 req-body:   - 0.844 ms
GET /descriptionAPI.html 200 req-body:   - 1.657 ms
GET /pictures/defaultEvent.jpg 200 req-body:   - 3.545 ms
GET /descriptionAPI.html 304 req-body:   - 9.189 ms
GET /pictures/defaultEvent 404 req-body:   - 8.865 ms
GET /events?radius=5&lat=13&long=45 404 req-body:  {} - 5.076 ms
GET /events?radius=5&lat=13&long=45 404 req-body:  {} - 1.524 ms
GET /radius=5/lat=13/long=45 404 req-body:   - 4.254 ms
GET /5/13/45 404 req-body:   - 1.674 ms
GET /events/ 404 req-body:  {} - 1.864 ms
GET /%27recital%27 404 req-body:   - 3.499 ms
GET /%27recital%27 404 req-body:   - 0.709 ms
GET /%22recital%22 404 req-body:   - 1.012 ms
GET /recital 404 req-body:   - 0.761 ms
GET /Recital 404 req-body:   - 0.775 ms
GET /events/ 404 req-body:  {} - 0.664 ms
GET /pictures/defaultEvent.jpg 200 req-body:   - 5.336 ms
GET /favicon.ico 404 req-body:   - 0.313 ms
GET /defaultEvent.jpg 404 req-body:   - 0.405 ms
GET /pictures/defaultEvent.jpg 200 req-body:   - 1.334 ms
GET /pictures/defaultEvent.jpg 200 req-body:   - 0.406 ms
GET /pictures/defaultEvent.png 200 req-body:   - 0.546 ms
GET /pictures/defaultEvent.png 200 req-body:   - 1.005 ms
GET /pictures/defaultEvent.png 304 req-body:   - 1.439 ms
GET /pictures/defaultEvent.png 304 req-body:   - 0.729 ms
GET /pictures/defaultEvent.png 304 req-body:   - 0.596 ms
GET /pictures/ball.png 200 req-body:   - 0.973 ms
GET /pictures/defaultEvent.png 304 req-body:   - 0.534 ms
GET /pictures/ball.jpg 404 req-body:   - 6.070 ms
GET /pictures/ball.png 200 req-body:   - 3.453 ms
GET /pictures/ball.png 200 req-body:   - 1.189 ms
GET /pictures/defaultEvent.png 200 req-body:   - 0.920 ms
GET /pictures/ball.png 200 req-body:   - 0.744 ms
GET /pictures/ball.png 304 req-body:   - 2.590 ms
GET /pictures/ball.png 304 req-body:   - 1.883 ms
GET /pictures/ball.png 304 req-body:   - 0.315 ms
GET /re 404 req-body:   - 0.933 ms
GET /pictures/defaultEvent.png 304 req-body:   - 2.428 ms
GET /pictures/defaultEvent.png 304 req-body:   - 1.095 ms
GET /pictures/ball.png 304 req-body:   - 0.347 ms
GET /pictures/defaultEvent.png 304 req-body:   - 0.298 ms
GET /pictures/defaultEvent.png 304 req-body:   - 0.381 ms
GET /pictures/defaultEvent.png 304 req-body:   - 0.670 ms
GET /pictures/ball.png 304 req-body:   - 0.624 ms
GET /pictures/ball.png 304 req-body:   - 0.691 ms
GET /pictures/ball.png 304 req-body:   - 0.663 ms
GET /pictures/ball.png 304 req-body:   - 0.712 ms
GET /pictures/ball.png 304 req-body:   - 0.655 ms
GET /pictures/ball.png 304 req-body:   - 0.630 ms
GET /pictures/ball.png 304 req-body:   - 0.661 ms
GET /pictures/ball.png 304 req-body:   - 1.459 ms
GET /pictures/ball.png 304 req-body:   - 0.656 ms
GET /pictures/ball.png 304 req-body:   - 0.519 ms
GET /pictures/ball.png 304 req-body:   - 1.480 ms
GET /pictures/ball.png 304 req-body:   - 0.651 ms
GET /pictures/ball.png 304 req-body:   - 0.618 ms
GET /pictures/ball.png 304 req-body:   - 0.603 ms
GET /pictures/ball.png 304 req-body:   - 0.639 ms
GET /pictures/ball.png 304 req-body:   - 0.617 ms
GET /pictures/ball.png 304 req-body:   - 0.601 ms
GET /pictures/ball.png 304 req-body:   - 0.286 ms
